1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
54C01T,TRENCH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (UNCONFIRMED) W/ HAZARDOUS MATERIALS, TRENCH (COLLAPSE/RESCUE)",TRENCH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54C01U,TECH|INVEST,FE,2E+1T,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (UNCONFIRMED) W/ HAZARDOUS MATERIALS, UNKN",TECH RESCUE INVEST,[DSO],6,2,1,,,,,,,,,,,,,,,,,,,
54C01W,COLLAPSE|RESQ|WATER,TECHWTR,1E+1T+1R+1M+1USAR+2SW+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (UNCONFIRMED) W/ HAZARDOUS MATERIALS, BUILDING/STRUCTURE COLLAPSE INTO WATER",COLLAPSE INV WATER,[DSO],0,1,1,1,1,,,,,,,,,,,1,2,,,,1,
54D00,TECH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA)",TECH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00C,CONFINEDSPACE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), CONFINED SPACE",CONFINED SPACE RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00H,CONFINEDSPACE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), SINKHOLE",CONFINED SPACE RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00L,COLLAPSE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), LARGE BUILDING/STRUCTURE COLLAPSE",COLLAPSE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00M,TECH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), LANDSLIDE/MUDSLIDE",TECH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00S,COLLAPSE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), SMALL BUILDING/STRUCTURE COLLAPSE",COLLAPSE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00T,TRENCH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), TRENCH (COLLAPSE/RESCUE)",TRENCH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D00U,TECH|INVEST,FE,2E+1T,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), UNKN",TECH RESCUE INVEST,[DSO],6,2,1,,,,,,,,,,,,,,,,,,,
54D00W,COLLAPSE|RESQ|WATER,TECHWTR,1E+1T+1R+1M+1USAR+2SW+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, OVERRIDE (DELTA), BUILDING/STRUCTURE COLLAPSE INTO WATER",COLLAPSE INV WATER,[DSO],0,1,1,1,1,,,,,,,,,,,1,2,,,,1,
54D01,TECH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED)",TECH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01C,CONFINEDSPACE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), CONFINED SPACE",CONFINED SPACE RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01H,CONFINEDSPACE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), SINKHOLE",CONFINED SPACE RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01L,COLLAPSE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), LARGE BUILDING/STRUCTURE COLLAPSE",COLLAPSE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01M,TRENCH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), LANDSLIDE/MUDSLIDE",TRENCH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01S,COLLAPSE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), SMALL BUILDING/STRUCTURE COLLAPSE",COLLAPSE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01T,TRENCH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), TRENCH (COLLAPSE/RESCUE)",TRENCH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D01U,TECH|INVEST,FE,2E+1T,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), UNKN",TECH RESCUE INVEST,[DSO],6,2,1,,,,,,,,,,,,,,,,,,,
54D01W,COLLAPSE|RESQ|WATER,TECHWTR,1E+1T+1R+1M+1USAR+2SW+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED), BUILDING/STRUCTURE COLLAPSE INTO WATER",COLLAPSE INV WATER,[DSO],0,1,1,1,1,,,,,,,,,,,1,2,,,,1,
54D02,TECH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS",TECH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02C,CONFINEDSPACE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, CONFINED SPACE",CONFINED SPACE RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02H,CONFINEDSPACE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, SINKHOLE",CONFINED SPACE RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02L,COLLAPSE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, LARGE BUILDING/STRUCTURE COLLAPSE",COLLAPSE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02M,TRENCH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, LANDSLIDE/MUDSLIDE",TRENCH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02S,COLLAPSE|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, SMALL BUILDING/STRUCTURE COLLAPSE",COLLAPSE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02T,TRENCH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, TRENCH (COLLAPSE/RESCUE)",TRENCH RESCUE,[DSO],0,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02U,TECH|RESQ,RES,1E+1T+1R+1M+1USAR+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, UNKN",TECH RESCUE,[DSO],6,1,1,1,1,,,,,,,,,,,1,,,,,1,
54D02W,COLLAPSE|RESQ|WATER,TECHWTR,1E+1T+1R+1M+1USAR+2SW+1CH,"CONFINED SPACE/STRUCTURE COLLAPSE, ENTRAPMENT/TRAPPED (CONFIRMED) W/ HAZARDOUS MATERIALS, BUILDING/STRUCTURE COLLAPSE INTO WATER",COLLAPSE INV WATER,[DSO],0,1,1,1,1,,,,,,,,,,,1,2,,,,1,
55A01,TRANSFORMER|ROUTINE,TRAR,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE)","TRANSFORMER, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A01A,TRANSFORMER|ROUTINE,TRAR,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), ANIMALS THREATENED","TRANSFORMER, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A01B,TRANSFORMER|ROUTINE,TRAR,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), BUILDINGS (NON-RESIDENTIAL) THREATENED","TRANSFORMER, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A01C,TRANSFORMER,TRA,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), BRUSH/GRASS THREATENED",TRANSFORMER,,8,1,,,,,,,,,,,,,,,,,,,,
55A01D,TRANSFORMER,TRA,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), WILDLAND THREATENED",TRANSFORMER,,8,1,,,,,,,,,,,,,,,,,,,,
55A01N,TRANSFORMER|ALS1,TRA1,1E+1M,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), PERSON IN CONTACT W/ ELECTRICAL HAZARD","TRANSFORMER, ALS1",,8,1,,,1,,,,,,,,,,,,,,,,,
55A01O,TRANSFORMER|ROUTINE,TRAR,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), OTHER THREATENED","TRANSFORMER, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A01P,TRANSFORMER,TRA,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), PEOPLE IN DANGER",TRANSFORMER,,8,1,,,,,,,,,,,,,,,,,,,,
55A01R,TRANSFORMER,TRA,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), RESIDENTIAL THREATENED",TRANSFORMER,,8,1,,,,,,,,,,,,,,,,,,,,
55A01S,TRANSFORMER|ALS2,TRA2,1E+1M+1EMSO,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), PERSON IN CONTACT W/ ELECTRICAL HAZARD & SINGLE INJURED PERSON","TRANSFORMER, ALS2",,5,1,,,1,,1,,,,,,,,,,,,,,,
55A01T,TRANSFORMER|MULT,TRAM,1E+1M+1A,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), PERSON IN CONTACT W/ ELECTRICAL HAZARD & MULT INJURED PERSONS",TRANSFORMER W/ MULT PTS,,5,1,,,1,1,,,,,,,,,,,,,,,,
55A01U,TRANSFORMER|ROUTINE,TRAR,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), UNKN THREATENED","TRANSFORMER, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A01V,TRANSFORMER,TRA,1E,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), VEHICLE THREATENED",TRANSFORMER,,8,1,,,,,,,,,,,,,,,,,,,,
55A01X,TRANSFORMER|ALS1,TRA1,1E+1M,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), SINGLE INJURED PERSON","TRANSFORMER, ALS1",,8,1,,,1,,,,,,,,,,,,,,,,,
55A01Y,TRANSFORMER|MULT,TRAM,1E+1M+1A,"ELECTRICAL HAZARD, TRANSFORMER OUTSIDE (WIRE OR POLE), MULT INJURED PERSONS",TRANSFORMER W/ MULT PTS,,5,1,,,1,1,,,,,,,,,,,,,,,,
55A02,APPLIANCE|PROBLEM|ROUTINE,APPR,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT","ELEC APPLIANCE, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A02A,APPLIANCE|PROBLEM|ROUTINE,APPR,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, ANIMALS THREATENED","ELEC APPLIANCE, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A02B,APPLIANCE|PROBLEM|ROUTINE,APPR,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, BUILDINGS (NON-RESIDENTIAL) THREATENED","ELEC APPLIANCE, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A02C,APPLIANCE|PROBLEM,APP,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, BRUSH/GRASS THREATENED",ELEC APPLIANCE,,8,1,,,,,,,,,,,,,,,,,,,,
55A02D,APPLIANCE|PROBLEM,APP,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, WILDLAND THREATENED",ELEC APPLIANCE,,8,1,,,,,,,,,,,,,,,,,,,,
55A02N,APPLIANCE|PROBLEM|ALS1,APP1,1E+1M,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, PERSON IN CONTACT W/ ELECTRICAL HAZARD","ELEC APPLIANCE, ALS1",,8,1,,,1,,,,,,,,,,,,,,,,,
55A02O,APPLIANCE|PROBLEM|ROUTINE,APPR,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, OTHER THREATENED","ELEC APPLIANCE, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A02P,APPLIANCE|PROBLEM,APP,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, PEOPLE IN DANGER",ELEC APPLIANCE,,8,1,,,,,,,,,,,,,,,,,,,,
55A02R,APPLIANCE|PROBLEM,APP,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, RESIDENTIAL THREATENED",ELEC APPLIANCE,,8,1,,,,,,,,,,,,,,,,,,,,
55A02S,APPLIANCE|PROBLEM|ALS2,APP2,1E+1M+1EMSO,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, PERSON IN CONTACT W/ ELECTRICAL HAZARD & SINGLE INJURED PERSON","ELEC APPLIANCE, ALS2",,5,1,,,1,,1,,,,,,,,,,,,,,,
55A02T,APPLIANCE|PROBLEM|MULT,APPM,1E+1M+1A,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, PERSON IN CONTACT W/ ELECTRICAL HAZARD & MULT INJURED PERSONS",ELEC APPLIANCE W/ MULT PTS,,5,1,,,1,1,,,,,,,,,,,,,,,,
55A02U,APPLIANCE|PROBLEM|ROUTINE,APPR,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, UNKN THREATENED","ELEC APPLIANCE, ROUTINE",,8,1,,,,,,,,,,,,,,,,,,,,
55A02V,APPLIANCE|PROBLEM,APP,1E,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, VEHICLE THREATENED",ELEC APPLIANCE,,8,1,,,,,,,,,,,,,,,,,,,,
55A02X,APPLIANCE|PROBLEM|ALS1,APP1,1E+1M,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, SINGLE INJURED PERSON","ELEC APPLIANCE, ALS1",,8,1,,,1,,,,,,,,,,,,,,,,,
55A02Y,APPLIANCE|PROBLEM|MULT,APPM,1E+1M+1A,"ELECTRICAL HAZARD, APPLIANCE W/O ODOR PRESENT, MULT INJURED PERSONS",ELEC APPLIANCE W/ MULT PTS,,5,1,,,1,1,,,,,,,,,,,,,,,,
55B00,ELEC|HAZ|ROUTINE,ELECR,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO)","ELEC HAZ, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00A,ELEC|HAZ|ROUTINE,ELECR,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), ANIMALS THREATENED","ELEC HAZ, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00B,ELEC|HAZ|ROUTINE,ELECR,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), BUILDINGS (NON-RESIDENTIAL) THREATENED","ELEC HAZ, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00C,ELEC|HAZ,ELEC,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), BRUSH/GRASS THREATENED",ELEC HAZ,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00D,ELEC|HAZ,ELEC,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), WILDLAND THREATENED",ELEC HAZ,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00N,ELEC|HAZ|ALS1,ELEC1,1E+1M,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), PERSON IN CONTACT W/ ELECTRICAL HAZARD","ELEC HAZ, ALS1",[DWP],7,1,,,1,,,,,,,,,,,,,,,,,
55B00O,ELEC|HAZ|ROUTINE,ELECR,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), OTHER THREATENED","ELEC HAZ, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00P,ELEC|HAZ,ELEC,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), PEOPLE IN DANGER",ELEC HAZ,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00R,ELEC|HAZ,ELEC,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), RESIDENTIAL THREATENED",ELEC HAZ,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00S,ELEC|HAZ|ALS2,ELEC2,1E+1M+1EMSO,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), PERSON IN CONTACT W/ ELECTRICAL HAZARD & SINGLE INJURED PERSON","ELEC HAZ, ALS2",[DWP],5,1,,,1,,1,,,,,,,,,,,,,,,
55B00T,ELEC|HAZ|MULT,ELECM,2E+1M+1A,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), PERSON IN CONTACT W/ ELECTRICAL HAZARD & MULT INJURED PERSONS",ELEC HAZ W/ MULT PTS,[DWP],5,2,,,1,1,,,,,,,,,,,,,,,,
55B00U,ELEC|HAZ|ROUTINE,ELECR,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), UNKN THREATENED","ELEC HAZ, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00V,ELEC|HAZ,ELEC,1E,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), VEHICLE THREATENED",ELEC HAZ,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B00X,ELEC|HAZ|ALS1,ELEC1,1E+1M,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), SINGLE INJURED PERSON","ELEC HAZ, ALS1",[DWP],7,1,,,1,,,,,,,,,,,,,,,,,
55B00Y,ELEC|HAZ|MULT,ELECM,2E+1M+1A,"ELECTRICAL HAZARD, OVERRIDE (BRAVO), MULT INJURED PERSONS",ELEC HAZ W/ MULT PTS,[DWP],5,2,,,1,1,,,,,,,,,,,,,,,,
55B01,ELEC|ARC|ROUTINE,ELECARR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING","ELEC ARCING, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01A,ELEC|ARC|ROUTINE,ELECARR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, ANIMALS THREATENED","ELEC ARCING, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01B,ELEC|ARC|ROUTINE,ELECARR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, BUILDINGS (NON-RESIDENTIAL) THREATENED","ELEC ARCING, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01C,ELEC|ARC,ELECAR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, BRUSH/GRASS THREATENED",ELEC ARCING,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01D,ELEC|ARC,ELECAR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, WILDLAND THREATENED",ELEC ARCING,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01N,ELEC|ARC|ALS1,ELECAR1,1E+1M,"ELECTRICAL HAZARD, ELECTRICAL ARCING, PERSON IN CONTACT W/ ELECTRICAL HAZARD","ELEC ARCING, ALS1",[DWP],7,1,,,1,,,,,,,,,,,,,,,,,
55B01O,ELEC|ARC|ROUTINE,ELECARR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, OTHER THREATENED","ELEC ARCING, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01P,ELEC|ARC,ELECAR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, PEOPLE IN DANGER",ELEC ARCING,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01R,ELEC|ARC,ELECAR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, RESIDENTIAL THREATENED",ELEC ARCING,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01S,ELEC|ARC|ALS2,ELECAR2,1E+1M+1EMSO,"ELECTRICAL HAZARD, ELECTRICAL ARCING, PERSON IN CONTACT W/ ELECTRICAL HAZARD & SINGLE INJURED PERSON","ELEC ARCING, ALS2",[DWP],5,1,,,1,,1,,,,,,,,,,,,,,,
55B01T,ELEC|ARC|MULT,ELECARM,2E+1M+1A,"ELECTRICAL HAZARD, ELECTRICAL ARCING, PERSON IN CONTACT W/ ELECTRICAL HAZARD & MULT INJURED PERSONS",ELEC ARCING W/ MULT PTS,[DWP],5,2,,,1,1,,,,,,,,,,,,,,,,
55B01U,ELEC|ARC|ROUTINE,ELECARR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, UNKN THREATENED","ELEC ARCING, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01V,ELEC|ARC,ELECAR,1E,"ELECTRICAL HAZARD, ELECTRICAL ARCING, VEHICLE THREATENED",ELEC ARCING,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B01X,ELEC|ARC|ALS1,ELECAR1,1E+1M,"ELECTRICAL HAZARD, ELECTRICAL ARCING, SINGLE INJURED PERSON","ELEC ARCING, ALS1",[DWP],7,1,,,1,,,,,,,,,,,,,,,,,
55B01Y,ELEC|ARC|MULT,ELECARM,2E+1M+1A,"ELECTRICAL HAZARD, ELECTRICAL ARCING, MULT INJURED PERSONS",ELEC ARCING W/ MULT PTS,[DWP],5,2,,,1,1,,,,,,,,,,,,,,,,
55B02,WIRESDOWN|ROUTINE,SE,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING","WIRES DOWN, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02A,WIRESDOWN|ROUTINE,SE,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, ANIMALS THREATENED","WIRES DOWN, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02B,WIRESDOWN|ROUTINE,SE,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, BUILDINGS (NON-RESIDENTIAL) THREATENED","WIRES DOWN, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02C,WIRESDOWN,WIRES,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, BRUSH/GRASS THREATENED",WIRES DOWN,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02D,WIRESDOWN,WIRES,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, WILDLAND THREATENED",WIRES DOWN,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02N,WIRESDOWN|ALS1,AL1D,1E+1M+1EMSO,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, PERSON IN CONTACT W/ ELECTRICAL HAZARD","WIRES DOWN, ALS1",[DWP],7,1,,,1,,1,,,,,,,,,,,,,,,
55B02O,WIRESDOWN|ROUTINE,SE,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, OTHER THREATENED","WIRES DOWN, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02P,WIRESDOWN,WIRES,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, PEOPLE IN DANGER",WIRES DOWN,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02R,WIRESDOWN,WIRES,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, RESIDENTIAL THREATENED",WIRES DOWN,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02S,WIRESDOWN|ALS2,WIRES2,1E+1M+1EMSO,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, PERSON IN CONTACT W/ ELECTRICAL HAZARD & SINGLE INJURED PERSON","WIRES DOWN, ALS2",[DWP],5,1,,,1,,1,,,,,,,,,,,,,,,
55B02T,WIRESDOWN|MULT,WIRESM,2E+1M+1A,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, PERSON IN CONTACT W/ ELECTRICAL HAZARD & MULT INJURED PERSONS",WIRES DOWN W/ MULT PTS,[DWP],5,2,,,1,1,,,,,,,,,,,,,,,,
55B02U,WIRESDOWN|ROUTINE,SE,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, UNKN THREATENED","WIRES DOWN, ROUTINE",[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02V,WIRESDOWN,WIRES,1E,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, VEHICLE THREATENED",WIRES DOWN,[DWP],7,1,,,,,,,,,,,,,,,,,,,,
55B02X,WIRESDOWN|ALS1,AL1D,1E+1M+1EMSO,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, SINGLE INJURED PERSON","WIRES DOWN, ALS1",[DWP],7,1,,,1,,1,,,,,,,,,,,,,,,
55B02Y,WIRESDOWN|MULT,WIRESM,2E+1M+1A,"ELECTRICAL HAZARD, WIRES DOWN W/O SMOKE OR ARCING, MULT INJURED PERSONS",WIRES DOWN W/ MULT PTS,[DWP],5,2,,,1,1,,,,,,,,,,,,,,,,
