,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
FF,ElevatedStructureFire|BLS,FF,"ELEVATED STRUCTURE FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FH,ElevatedStructureFireLG,FH,LARGE ELEVATED STRUCTURE FIRE,2,1,,,1,,,,,,,,,,,,,,,1,,
FDMULTP,ElevatedStructureFireM,FDMULTP,ELEVATED STRUCTURE FIRE WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
SCT,ELEVATOR,SCT,ELEVATOR,1,1,,,,,,,,,,,,,,,,,,,,
ALS1,ELEVATOR|ALS1,ALS1,"ELEVATOR, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
SCTE,ELEVATOR|BLS,SCTE,"ELEVATOR, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
SCT,ELEVATOR|ROUTINE,SCT,"ELEVATOR, ROUTINE",1,1,,,,,,,,,,,,,,,,,,,,
PAALS1,ELEVATOR|TRAP,PAALS1,ELEVATOR WITH ENTRAPMENT,2,,1,1,,,,,,,,,,,,,,,,,,
EMTF,EMS TASK FORCE,EMTF,E-M-S TASK FORCE,2,,,3,2,1,,,,,,,,,,,,,,,,
EMTF1,EMS TASK FORCE 1,EMTF1,E-M-S TASK FORCE,1,,,6,4,2,,,,,,,,,,,,,,,,
EMTF2,EMS TASK FORCE 2,EMTF2,E-M-S TASK FORCE,1,,,9,6,3,,,,,,,,,,,,,,,,
EMTF3,EMS TASK FORCE 3,EMTF3,E-M-S TASK FORCE,1,,,12,8,4,,,,,,,,,,,,,,,,
EMTF4,EMS TASK FORCE 4,EMTF4,E-M-S TASK FORCE,1,,,15,10,5,,,,,,,,,,,,,,,,
EMTF5,EMS TASK FORCE 5,EMTF5,E-M-S TASK FORCE,1,,,18,12,6,,,,,,,,,,,,,,,,
TRAP1,ENTRAP|ALS1,TRAP1,"ENTRAPMENT, A-L-S ONE",2,,1,1,,,,,,,,,,,,,,,,,,
TRAP2,ENTRAP|ALS2,TRAP2,"ENTRAPMENT, A-L-S TWO",2,,1,1,,1,,,,,,,,,,,,,,,,
TRAPB,ENTRAP|BLS,TRAPB,"ENTRAPMENT, B-L-S",2,,1,,1,,,,,,,,,,,,,,,,,
TRAPHMB,ENTRAP|BLS,TRAPHMB,"ENTRAPMENT WITH HAZ MAT, B-L-S",2,,1,,1,,,,,,,,,1,,,,,,1,,
TRAPHM1,ENTRAP|HM|ALS1,TRAPHM1,"ENTRAPMENT WITH HAZ MAT, A-L-S ONE",2,,1,1,,,,,,,,,,1,,,,,,1,,
TRAPHM2,ENTRAP|HM|ALS2,TRAPHM2,"ENTRAPMENT WITH HAZ MAT, A-L-S TWO",2,,1,1,,1,,,,,,,,1,,,,,,1,,
TRAPHMM,ENTRAP|MULT,TRAPHMM,ENTRAPMENT WITH MULTIPLE PATIENTS,2,,1,1,1,1,,,,,,,,1,,,,,,1,,
TRAPM,ENTRAP|MULT,TRAPM,ENTRAPMENT WITH MULTIPLE PATIENTS,2,,1,1,1,1,,,,,,,,,,,,,,,,
TRAPHMR,ENTRAP|ROUTINE,TRAPHMR,"ENTRAPMENT WITH HAZ MAT, ROUTINE",2,,1,,1,,,,,,,,,1,,,,,,1,,
TRAPR,ENTRAP|ROUTINE,TRAPR,"ENTRAPMENT, ROUTINE",2,,1,,1,,,,,,,,,,,,,,,,,
EXPL,EXPL,EXPL,EXPLOSION,2,1,,,,,,,,,,,,,,,,,,,1,
EXPL1,EXPL|ALS1,EXPL1,"EXPLOSION, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,1,
EXPLH1,EXPL|HM|ALS1,EXPLH1,"EXPLOSION WITH HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,1,
EXPLHM,EXPL|HM|MULT,EXPLHM,EXPLOSION WITH HAZ MAT AND MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,1,,,,,,,1,
EXPLI,EXPL|INVEST,EXPLI,EXPLOSION INVESTIGATION,1,1,,,,,,,,,,,,,,,,,,,1,
EXPLI1,EXPL|INVEST|ALS1,EXPLI1,"EXPLOSION INVESTIGATION, A-L-S ONE",1,1,,1,,,,,,,,,,,,,,,,,1,
EXPLIHM,EXPL|INVEST|HM,EXPLIHM,EXPLOSION INVESTIGATION WITH HAZ MAT,2,1,,1,,,,,,,,,,1,,,,,,,1,
EXPLIM,EXPL|INVEST|MULT,EXPLIM,EXPLOSION INVESTIGATION WITH MULTIPLE PATIENTS,1,1,,1,1,,,,,,,,,,,,,,,,1,
EXPLM,EXPL|MULT,EXPLM,EXPLOSION WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,1,
EXPLV,EXPL|VEH,EXPLV,VEHICLE EXPLOSION,2,1,,,,,,,,,,,,,,,,,,,1,
EXPLV1,EXPL|VEH|ALS1,EXPLV1,"VEHICLE EXPLOSION, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,,1,
EXPLVH1,EXPL|VEH|HM|ALS1,EXPLVH1,"VEHICLE EXPLOSION WITH HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,,1,
EXPLVHM,EXPL|VEH|HM|MULT,EXPLVHM,VEHICLE EXPLOSION WITH HAZ MAT AND MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,1,,,,,,,1,
EXPLVM,EXPL|VEH|MULT,EXPLVM,VEHICLE EXPLOSION WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,1,
ALS1,EYEINJURY|ALS1,ALS1,"EYE INJURY, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
ALS2,EYEINJURY|ALS2,ALS2,"EYE INJURY, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,EYEINJURY|BLS,BLSU9,"EYE INJURY, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
BLSR,EYEINJURY|ROUTINE,BLSR,"EYE INJURY, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
BLSU9,FAINT|BLS,BLSU9,"FAINTING, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
ALS1,FALL|ALS1,ALS1,"FALL, A-L-S ONE",1,,,1,,,,,,,,,,,,,,,,,,
AL2D,FALL|ALS2,AL2D,"FALL, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,FALL|BLS,BLSU9,"FALL, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
AL2D,FALL|CPR,AL2D,"FALL WITH C-P-R, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSR,FALL|ROUTINE,BLSR,"FALL, ROUTINE",,,,,1,,,,,,,,,,,,,,,,,
AL1D,FALL|w/PD|ALS1,AL1D,"JUMPER/FALL WITH POLICE, A-L-S ONE",1,,,1,,1,,,,,,,,,,,,,,,,
AL2D,FALL|w/PD|ALS2,AL2D,"JUMPER/FALL WITH POLICE, A-L-S TWO",1,,,1,,1,,,,,,,,,,,,,,,,
BLSU9,FALL|w/PD|BLS,BLSU9,"JUMPER/FALL WITH POLICE, B-L-S",,,,,1,,,,,,,,,,,,,,,,,
HMFULL,FIRE|AIR|LARGE,HMFULL,LARGE AIRCRAFT FIRE,3,1,1,2,,,,,,,,,,2,,,,,,1,,
HMADAPT,FIRE|AIR|SMALL,HMADAPT,SMALL AIRCRAFT FIRE,2,1,,2,,,,,,,,,,1,,,,,,1,,
FU,FIRE|APPLIANCE,FU,APPLIANCE FIRE,2,1,,,1,,,,,,,,,,,,,,,1,,
FU1,FIRE|APPLIANCE|ALS1,FU1,"APPLIANCE FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,1,,
FU2,FIRE|APPLIANCE|ALS2,FU2,"APPLIANCE FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,1,,
FUB,FIRE|APPLIANCE|BLS,FUB,"APPLIANCE FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,1,,
FUH,FIRE|APPLIANCE|HM,FUH,APPLIANCE FIRE WITH HAZ MAT,2,1,,,,,,,,,,,,1,,,,,,1,,
FUH1,FIRE|APPLIANCE|HM|ALS1,FUH1,"APPLIANCE FIRE WITH HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,1,,
FUH2,FIRE|APPLIANCE|HM|ALS2,FUH2,"APPLIANCE FIRE WITH HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,1,,
FUHB,FIRE|APPLIANCE|HM|BLS,FUHB,"APPLIANCE FIRE WITH HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,1,,
FUHM,FIRE|APPLIANCE|HM|MULT,FUHM,APPLIANCE FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,1,,,,,,1,,
FUM,FIRE|APPLIANCE|MULT,FUM,APPLIANCE FIRE WITH MULTIPLE PATIENTS,2,1,,2,,1,,,,,,,,,,,,,,1,,
APPF,FIRE|APPLIANCE|PROBLEM,APPF,ELECTRICAL APPLIANCE FIRE,1,,,,,,,,,,,,,,,,,,,,,
APPF1,FIRE|APPLIANCE|PROBLEM|ALS1,APPF1,"ELECTRICAL APPLIANCE FIRE, A-L-S ONE",1,1,,1,,,,,,,,,,,,,,,,,,
APPF2,FIRE|APPLIANCE|PROBLEM|ALS2,APPF2,"ELECTRICAL APPLIANCE FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
APPFB,FIRE|APPLIANCE|PROBLEM|BLS,APPFB,"ELECTRICAL APPLIANCE FIRE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
APPFM,FIRE|APPLIANCE|PROBLEM|MULT,APPFM,ELECTRICAL APPLIANCE FIRE WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
APPFR,FIRE|APPLIANCE|PROBLEM|ROUTINE,APPFR,"ELECTRICAL APPLIANCE FIRE, ROUTINE",1,,,,,,,,,,,,,,,,,,,,,
APPFR1,FIRE|APPLIANCE|PROBLEM|ROUTINE|ALS1,APPFR1,"ELECTRICAL APPLIANCE FIRE, ROUTINE, A-L-S ONE",1,1,,1,,,,,,,,,,,,,,,,,,
APPFR2,FIRE|APPLIANCE|PROBLEM|ROUTINE|ALS2,APPFR2,"ELECTRICAL APPLIANCE FIRE, ROUTINE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,,,
APPFRB,FIRE|APPLIANCE|PROBLEM|ROUTINE|BLS,APPFRB,"ELECTRICAL APPLIANCE FIRE, ROUTINE, B-L-S",1,,,,1,,,,,,,,,,,,,,,,,
APPFRM,FIRE|APPLIANCE|PROBLEM|ROUTINE|MULT,APPFRM,"ELECTRICAL APPLIANCE FIRE, ROUTINE WITH MULTIPLE PATIENTS",2,1,,1,1,,,,,,,,,,,,,,,,,
FUT,FIRE|APPLIANCE|TRAP,FUT,APPLIANCE FIRE WITH ENTRAPMENT,2,1,1,,,,,,,,,,,,,,,,,1,,
FUT1,FIRE|APPLIANCE|TRAP|ALS1,FUT1,"APPLIANCE FIRE WITH ENTRAPMENT, A-L-S ONE",2,1,1,1,,,,,,,,,,,,,,,,1,,
FUT2,FIRE|APPLIANCE|TRAP|ALS2,FUT2,"APPLIANCE FIRE WITH ENTRAPMENT, A-L-S TWO",2,1,1,1,,1,,,,,,,,,,,,,,1,,
FUTB,FIRE|APPLIANCE|TRAP|BLS,FUTB,"APPLIANCE FIRE WITH ENTRAPMENT, B-L-S",2,1,1,,1,,,,,,,,,,,,,,,1,,
FUTH,FIRE|APPLIANCE|TRAP|HM,FUTH,APPLIANCE FIRE WITH ENTRAPMENT AND HAZ MAT,2,1,1,,,,,,,,,,,1,,,,,,1,,
FUTH1,FIRE|APPLIANCE|TRAP|HM|ALS1,FUTH1,"APPLIANCE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",2,1,1,1,,,,,,,,,,1,,,,,,1,,
FUTH2,FIRE|APPLIANCE|TRAP|HM|ALS2,FUTH2,"APPLIANCE FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",2,1,1,1,,1,,,,,,,,1,,,,,,1,,
FUTHB,FIRE|APPLIANCE|TRAP|HM|BLS,FUTHB,"APPLIANCE FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",2,1,1,,1,,,,,,,,,1,,,,,,1,,
FJ,FIRE|BLDG,FJ,BUILDING FIRE,3,1,1,1,,,,,,,,,,,,,,,,1,,
FJ1,FIRE|BLDG|ALS1,FJ1,"BUILDING FIRE, A-L-S ONE",3,1,1,1,,,,,,,,,,,,,,,,1,,
FJ2,FIRE|BLDG|ALS2,FJ2,"BUILDING FIRE, A-L-S TWO",3,1,1,1,,1,,,,,,,,,,,,,,1,,
FJB,FIRE|BLDG|BLS,FJB,"BUILDING FIRE, B-L-S",3,1,1,,1,,,,,,,,,,,,,,,1,,
HMFULLFMO,FIRE|BLDG|EXPL,HMFULLFMO,BUILDING FIRE WITH EXPLOSION,3,1,1,2,,,,,,,,,,2,,,,,,1,1,
HMFULLFMO1,FIRE|BLDG|EXPL|ALS1,HMFULLFMO1,"BUILDING FIRE WITH EXPLOSION, A-L-S ONE",3,1,1,3,,1,,,,,,,,2,,,,,,1,1,
HMFULLFMO,FIRE|BLDG|EXPL|HM,HMFULLFMO,BUILDING FIRE WITH EXPLOSION AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,1,
FJH,FIRE|BLDG|HM,FJH,BUILDING FIRE WITH HAZ MAT,3,1,1,1,,,,,,,,,,2,,,,,,1,,
HMFULL,FIRE|BLDG|HM,HMFULL,BUILDING FIRE WITH HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FJH1,FIRE|BLDG|HM|ALS1,FJH1,"BUILDING FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,1,,,,,,,,,,2,,,,,,1,,
HMFULL1,FIRE|BLDG|HM|ALS1,HMFULL1,"BUILDING FIRE WITH HAZ MAT, A-L-S ONE",3,1,1,3,,1,,,,,,,,2,,,,,,1,1,
FJH2,FIRE|BLDG|HM|ALS2,FJH2,"BUILDING FIRE WITH HAZ MAT, A-L-S TWO",3,1,1,1,,1,,,,,,,,2,,,,,,1,,
FJHB,FIRE|BLDG|HM|BLS,FJHB,"BUILDING FIRE WITH HAZ MAT, B-L-S",3,1,1,,1,,,,,,,,,2,,,,,,1,,
FJHM,FIRE|BLDG|HM|MULT,FJHM,BUILDING FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,2,,,,,,1,,
HMFULL,FIRE|BLDG|HM|TRAP,HMFULL,BUILDING FIRE WITH HAZ MAT AND ENTRAPMENT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FJM,FIRE|BLDG|MULT,FJM,BUILDING FIRE WITH MULTIPLE PATIENTS,3,1,1,2,,1,,,,,,,,,,,,,,1,,
FJT,FIRE|BLDG|TRAP,FJT,BUILDING FIRE WITH ENTRAPMENT,3,1,1,2,,,,,,,,,,,,,,,,1,,
FJT1,FIRE|BLDG|TRAP|ALS1,FJT1,"BUILDING FIRE WITH ENTRAPMENT, A-L-S ONE",3,1,1,2,,,,,,,,,,,,,,,,1,,
FJT2,FIRE|BLDG|TRAP|ALS2,FJT2,"BUILDING FIRE WITH ENTRAPMENT, A-L-S TWO",3,1,1,2,,1,,,,,,,,,,,,,,1,,
FJTB,FIRE|BLDG|TRAP|BLS,FJTB,"BUILDING FIRE WITH ENTRAPMENT, B-L-S",3,1,1,1,1,,,,,,,,,,,,,,,1,,
FJTH,FIRE|BLDG|TRAP|HM,FJTH,BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FJTH1,FIRE|BLDG|TRAP|HM|ALS1,FJTH1,"BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",3,1,1,2,,,,,,,,,,2,,,,,,1,,
FJTH2,FIRE|BLDG|TRAP|HM|ALS2,FJTH2,"BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",3,1,1,2,,1,,,,,,,,2,,,,,,1,,
FJTHB,FIRE|BLDG|TRAP|HM|BLS,FJTHB,"BUILDING FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",3,1,1,1,1,,,,,,,,,2,,,,,,1,,
FF,FIRE|BLDG|VEH,FF,VEHICLE FIRE THREATENING A BUILDING,2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,FIRE|BLDG|VEH|BLS,FDMULTP,"VEHICLE FIRE THREATENING A BUILDING, B-L-S",2,1,,1,1,,,,,,,,,,,,,,,,,
HMFULL,FIRE|BLDG|VEH|HM,HMFULL,VEHICLE FIRE THREATENING A BUILDING WITH HAZ MAT,3,1,1,2,,,,,,,,,,2,,,,,,1,,
FE,FIRE|BOAT,FE,BOAT FIRE,2,1,,,,,,,,,,,,,,,,,,,,
FF,FIRE|BOAT|BLS,FF,"BOAT FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,,,
FDMULTP,FIRE|BOAT|MULT,FDMULTP,BOAT FIRE WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
SE,FIRE|BOAT|OUT,SE,EXTINGUISHED BOAT FIRE,1,,,,,,,,,,,,,,,,,,,,,
FC,FIRE|BOAT|OUT|BLS,FC,"EXTINGUISHED BOAT FIRE, B-L-S",1,,,1,,,,,,,,,,,,,,,,,,
FDMULTP,FIRE|BOAT|OUT|MULT,FDMULTP,EXTINGUISHED BOAT FIRE WITH MULTIPLE PATIENTS,2,1,,1,1,,,,,,,,,,,,,,,,,
BOATFIRE,FIRE|BOAT|WATER,BOATFIRE,BOAT FIRE,1,,,1,,,,,,,,,,,,4,,,,1,,
BRUSHLG,FIRE|BRUSH|LARGE,BRUSHLG,LARGE BRUSH FIRE,1,,,,,,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLG1,FIRE|BRUSH|LARGE|ALS1,BRUSHLG1,"LARGE BRUSH FIRE, A-L-S ONE",1,,,1,,,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLG2,FIRE|BRUSH|LARGE|ALS2,BRUSHLG2,"LARGE BRUSH FIRE, A-L-S TWO",1,,,1,,1,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLGB,FIRE|BRUSH|LARGE|BLS,BRUSHLGB,"LARGE BRUSH FIRE, B-L-S",1,,,,1,,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLGH,FIRE|BRUSH|LARGE|HM,BRUSHLGH,LARGE BRUSH FIRE WITH HAZ MAT,2,,,,,,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGH1,FIRE|BRUSH|LARGE|HM|ALS1,BRUSHLGH1,"LARGE BRUSH FIRE WITH HAZ MAT, A-L-S ONE",2,,,1,,,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGH2,FIRE|BRUSH|LARGE|HM|ALS2,BRUSHLGH2,"LARGE BRUSH FIRE WITH HAZ MAT, A-L-S TWO",2,,,1,,1,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGHB,FIRE|BRUSH|LARGE|HM|BLS,BRUSHLGHB,"LARGE BRUSH FIRE WITH HAZ MAT, B-L-S",2,,,,1,,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGHM,FIRE|BRUSH|LARGE|HM|MULT,BRUSHLGHM,LARGE BRUSH FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,2,,,2,1,,,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGM,FIRE|BRUSH|LARGE|MULT,BRUSHLGM,LARGE BRUSH FIRE WITH MULTIPLE PATIENTS,1,,,2,1,,,2,2,1,1,,,,,,,,1,1,,
BRUSHLGT,FIRE|BRUSH|LARGE|TRAP,BRUSHLGT,LARGE BRUSH FIRE WITH ENTRAPMENT,1,,1,1,,,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLGT1,FIRE|BRUSH|LARGE|TRAP|ALS1,BRUSHLGT1,"LARGE BRUSH FIRE WITH ENTRAPMENT, A-L-S ONE",1,,1,1,,,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLGT2,FIRE|BRUSH|LARGE|TRAP|ALS2,BRUSHLGT2,"LARGE BRUSH FIRE WITH ENTRAPMENT, A-L-S TWO",1,,1,1,,1,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLGTB,FIRE|BRUSH|LARGE|TRAP|BLS,BRUSHLGTB,"LARGE BRUSH FIRE WITH ENTRAPMENT, B-L-S",1,,1,,1,,1,2,2,1,1,,,,,,,,1,1,,
BRUSHLGTH,FIRE|BRUSH|LARGE|TRAP|HM,BRUSHLGTH,LARGE BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT,2,,1,1,,,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGTH1,FIRE|BRUSH|LARGE|TRAP|HM|ALS1,BRUSHLGTH1,"LARGE BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",2,,1,1,,,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGTH2,FIRE|BRUSH|LARGE|TRAP|HM|ALS2,BRUSHLGTH2,"LARGE BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",2,,1,1,,1,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGTHB,FIRE|BRUSH|LARGE|TRAP|HM|BLS,BRUSHLGTHB,"LARGE BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",2,,1,,1,,1,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGTHM,FIRE|BRUSH|LARGE|TRAP|HM|MULT,BRUSHLGTHM,"LARGE BRUSH FIRE WITH ENTRAPMENT, HAZ MAT, AND MULTIPLE PATIENTS",2,,1,2,1,,,2,2,1,1,,,2,,,,,1,1,,
BRUSHLGTM,FIRE|BRUSH|LARGE|TRAP|MULT,BRUSHLGTM,LARGE BRUSH FIRE WITH ENTRAPMENT AND MULTIPLE PATIENTS,1,,1,2,1,,,2,2,1,1,,,,,,,,1,1,,
BRUSHSM,FIRE|BRUSH|SMALL,BRUSHSM,SMALL BRUSH FIRE,1,,,,,,1,1,1,,,,,,,,,,,1,,
BRUSHSM1,FIRE|BRUSH|SMALL|ALS1,BRUSHSM1,"SMALL BRUSH FIRE, A-L-S ONE",1,,,1,,,1,1,1,,,,,,,,,,,1,,
BRUSHSM2,FIRE|BRUSH|SMALL|ALS2,BRUSHSM2,"SMALL BRUSH FIRE, A-L-S TWO",1,,,1,,1,1,1,1,,,,,,,,,,,1,,
BRUSHSMB,FIRE|BRUSH|SMALL|BLS,BRUSHSMB,"SMALL BRUSH FIRE, B-L-S",1,,,,1,,1,1,1,,,,,,,,,,,1,,
BRUSHSMH,FIRE|BRUSH|SMALL|HM,BRUSHSMH,SMALL BRUSH FIRE WITH HAZ MAT,1,,,,,,1,1,1,,,,,1,,,,,,1,,
BRUSHSMH1,FIRE|BRUSH|SMALL|HM|ALS1,BRUSHSMH1,"SMALL BRUSH FIRE WITH HAZ MAT, A-L-S ONE",1,,,1,,,1,1,1,,,,,1,,,,,,1,,
BRUSHSMH2,FIRE|BRUSH|SMALL|HM|ALS2,BRUSHSMH2,"SMALL BRUSH FIRE WITH HAZ MAT, A-L-S TWO",1,,,1,,1,1,1,1,,,,,1,,,,,,1,,
BRUSHSMHB,FIRE|BRUSH|SMALL|HM|BLS,BRUSHSMHB,"SMALL BRUSH FIRE WITH HAZ MAT, B-L-S",1,,,,1,,1,1,1,,,,,1,,,,,,1,,
BRUSHSMHM,FIRE|BRUSH|SMALL|HM|MULT,BRUSHSMHM,SMALL BRUSH FIRE WITH HAZ MAT AND MULTIPLE PATIENTS,1,,,1,1,,,1,1,,,,,1,,,,,,1,,
BRUSHSMM,FIRE|BRUSH|SMALL|MULT,BRUSHSMM,SMALL BRUSH FIRE WITH MULTIPLE PATIENTS,1,,,1,1,,,1,1,,,,,,,,,,,1,,
BRUSHSMT,FIRE|BRUSH|SMALL|TRAP,BRUSHSMT,SMALL BRUSH FIRE WITH ENTRAPMENT,1,,1,1,,,1,1,1,,,,,,,,,,,1,,
BRUSHSMT1,FIRE|BRUSH|SMALL|TRAP|ALS1,BRUSHSMT1,"SMALL BRUSH FIRE WITH ENTRAPMENT, A-L-S ONE",1,,1,1,,,1,1,1,,,,,,,,,,,1,,
BRUSHSMT2,FIRE|BRUSH|SMALL|TRAP|ALS2,BRUSHSMT2,"SMALL BRUSH FIRE WITH ENTRAPMENT, A-L-S TWO",1,,1,1,,1,1,1,1,,,,,,,,,,,1,,
BRUSHSMTB,FIRE|BRUSH|SMALL|TRAP|BLS,BRUSHSMTB,"SMALL BRUSH FIRE WITH ENTRAPMENT, B-L-S",1,,1,,1,,1,1,1,,,,,,,,,,,1,,
BRUSHSMTH,FIRE|BRUSH|SMALL|TRAP|HM,BRUSHSMTH,SMALL BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT,1,,1,1,,,1,1,1,,,,,1,,,,,,1,,
BRUSHSMTH1,FIRE|BRUSH|SMALL|TRAP|HM|ALS1,BRUSHSMTH1,"SMALL BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S ONE",1,,1,1,,,1,1,1,,,,,1,,,,,,1,,
BRUSHSMTH2,FIRE|BRUSH|SMALL|TRAP|HM|ALS2,BRUSHSMTH2,"SMALL BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT, A-L-S TWO",1,,1,1,,1,1,1,1,,,,,1,,,,,,1,,
BRUSHSMTHB,FIRE|BRUSH|SMALL|TRAP|HM|BLS,BRUSHSMTHB,"SMALL BRUSH FIRE WITH ENTRAPMENT AND HAZ MAT, B-L-S",1,,1,,1,,1,1,1,,,,,1,,,,,,1,,
BRUSHSMTHM,FIRE|BRUSH|SMALL|TRAP|HM|MULT,BRUSHSMTHM,"SMALL BRUSH FIRE WITH ENTRAPMENT, HAZ MAT, AND MULTIPLE PATIENTS",1,,1,1,1,,,1,1,,,,,1,,,,,,1,,
BRUSHSMTM,FIRE|BRUSH|SMALL|TRAP|MULT,BRUSHSMTM,SMALL BRUSH FIRE WITH ENTRAPMENT AND MULTIPLE PATIENTS,1,,1,1,1,,,1,1,,,,,,,,,,,1,,
FR,FIRE|CHIMNEY,FR,CHIMNEY FIRE,2,1,,,1,,,,,,,,,,,,,,,1,,
FR1,FIRE|CHIMNEY|ALS1,FR1,"CHIMNEY FIRE, A-L-S ONE",2,1,,1,,,,,,,,,,,,,,,,1,,
FR2,FIRE|CHIMNEY|ALS2,FR2,"CHIMNEY FIRE, A-L-S TWO",2,1,,1,,1,,,,,,,,,,,,,,1,,
FRB,FIRE|CHIMNEY|BLS,FRB,"CHIMNEY FIRE, B-L-S",2,1,,,1,,,,,,,,,,,,,,,1,,
FRH,FIRE|CHIMNEY|HM,FRH,CHIMNEY FIRE WITH HAZ MAT,2,1,,,,,,,,,,,,1,,,,,,1,,
FRH1,FIRE|CHIMNEY|HM|ALS1,FRH1,"CHIMNEY FIRE WITH HAZ MAT, A-L-S ONE",2,1,,1,,,,,,,,,,1,,,,,,1,,
FRH2,FIRE|CHIMNEY|HM|ALS2,FRH2,"CHIMNEY FIRE WITH HAZ MAT, A-L-S TWO",2,1,,1,,1,,,,,,,,1,,,,,,1,,
FRHB,FIRE|CHIMNEY|HM|BLS,FRHB,"CHIMNEY FIRE WITH HAZ MAT, B-L-S",2,1,,,1,,,,,,,,,1,,,,,,1,,
